customer_id,latest_purchase_date,recency,frequency,monetary,cluster,segment_name,recommended_action
C0194,2025-08-19,134,1,2400,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0199,2025-03-09,297,1,22800,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0203,2025-09-10,112,1,9500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0221,2025-03-16,290,1,15200,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0224,2025-01-19,346,1,12000,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0225,2025-06-19,195,1,3750,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0234,2025-03-13,293,1,127500,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0237,2025-04-10,265,1,11200,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0248,2025-10-06,86,1,6375,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0252,2025-10-29,63,1,1750,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0270,2025-10-30,62,2,6600,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0274,2025-11-12,49,1,4000,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0279,2025-05-02,243,1,12000,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0280,2025-06-16,198,1,10500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0291,2025-05-12,233,1,7500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0296,2025-03-09,297,1,7000,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0308,2025-05-26,219,1,14250,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0311,2025-11-19,42,1,35000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0321,2025-04-29,246,1,75000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0333,2025-01-02,363,1,18000,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0339,2025-11-16,45,1,47500,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0349,2025-01-14,351,1,19200,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0367,2025-06-26,188,1,4750,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0373,2025-03-12,294,1,8500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0378,2025-04-19,256,1,5625,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0384,2025-04-27,248,1,8100,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0400,2025-09-16,106,1,5625,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0408,2025-06-11,203,1,2500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0414,2025-11-15,46,1,16000,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0415,2025-04-07,268,1,15200,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0420,2025-08-24,129,1,135000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0421,2025-11-13,48,3,18350,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0430,2025-08-11,142,1,4000,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0443,2025-08-19,134,1,42500,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0445,2025-12-30,1,1,75000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0455,2025-07-25,159,1,95000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0461,2025-01-20,345,1,6375,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0469,2025-06-21,193,1,7500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0472,2025-06-22,192,1,11250,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0498,2025-12-07,24,2,9375,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0499,2025-03-11,295,1,80000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0502,2025-02-13,321,1,6000,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0507,2025-09-15,107,1,11250,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0511,2025-05-06,239,1,4250,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0519,2025-09-13,109,1,11200,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0522,2025-10-28,64,1,2250,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0525,2025-05-18,227,2,25300,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0528,2025-10-26,66,1,11250,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0539,2025-07-20,164,1,142500,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0540,2025-09-25,97,1,4500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0547,2025-11-09,52,1,2250,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0555,2025-08-30,123,1,6375,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0557,2025-12-09,22,1,150000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0560,2025-05-04,241,1,11250,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0561,2025-01-06,359,1,4500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0563,2025-04-29,246,1,4500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0564,2025-09-29,93,1,10500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0567,2025-07-14,170,1,2700,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0569,2025-04-16,259,2,10100,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0571,2025-02-13,321,1,42500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0575,2025-12-08,23,1,2000,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0582,2025-04-15,260,1,70000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0592,2025-09-26,96,1,2850,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0593,2025-06-26,188,1,7000,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0598,2025-05-23,222,1,6375,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0599,2025-03-30,276,1,8000,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0602,2025-03-16,290,1,2400,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0611,2025-07-03,181,1,3500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0617,2025-01-19,346,1,4500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0632,2025-12-13,18,1,12750,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0633,2025-11-11,50,1,10000,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0647,2025-12-26,5,1,85000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0650,2025-06-06,208,1,6750,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0656,2025-01-29,336,1,5000,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0661,2025-04-30,245,1,4500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0679,2025-03-25,281,1,4500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0688,2025-07-27,157,1,3500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0690,2025-11-25,36,1,45000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0705,2025-01-18,347,1,1875,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0712,2025-10-24,68,2,23200,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0718,2025-05-08,237,1,4200,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0727,2025-09-18,104,1,10000,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0733,2025-01-23,342,1,100000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0735,2025-06-19,195,1,2125,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0742,2025-06-06,208,1,3500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0744,2025-02-09,325,1,12000,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0748,2025-03-28,278,1,22800,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0759,2025-05-29,216,2,110500,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0775,2025-06-09,205,2,12000,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0790,2025-02-10,324,1,37500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0792,2025-04-27,248,2,155000,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0800,2025-12-08,23,1,8000,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0803,2025-12-09,22,1,5700,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0805,2025-09-23,99,1,2100,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0812,2025-08-23,130,1,4500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0817,2025-01-01,364,1,8000,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0824,2025-07-05,179,1,2250,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0834,2025-04-28,247,2,77550,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0841,2025-12-24,7,1,18000,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0849,2025-07-14,170,1,11250,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0852,2025-09-20,102,1,5250,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0853,2025-09-25,97,1,90000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0856,2025-01-17,348,1,10500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0857,2025-12-13,18,2,10875,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0860,2025-05-06,239,1,6750,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0861,2025-05-28,217,1,7650,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0869,2025-08-09,144,1,4200,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0870,2025-11-13,48,1,45000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0872,2025-02-23,311,1,4800,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0876,2025-02-26,308,1,1750,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0881,2025-10-09,83,1,4500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0886,2025-11-14,47,1,10500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0895,2025-12-26,5,1,1875,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0903,2025-04-28,247,1,7000,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0906,2025-10-03,89,1,90000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0912,2025-09-18,104,1,13600,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0920,2025-06-11,203,1,2550,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0931,2025-08-02,151,1,7200,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0935,2025-11-22,39,1,2250,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0955,2025-03-12,294,1,10000,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0961,2025-03-17,289,1,12750,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0968,2025-09-17,105,1,8100,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0969,2025-11-08,53,2,26000,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0980,2025-09-17,105,1,2700,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0982,2025-03-31,275,1,37500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0990,2025-05-29,216,1,85000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0996,2025-01-11,354,1,19200,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
